id,SentMessages,ReceivedMessages,MessagesOutsideWorkHours,SentFrequency,ReceivedFrequency,sent_received_ratio,UniqueRecipients,hidden_copy,carbon_copy,text_length,BytesSentReceivedRatio,question_marks,response_time,MessagesReadLater,DaysBetweenReceivedAndRead,answered_messages,unanswered_messages,unreplied_messages,mention_colleagues,MoodType,StressKeywordsPresent,SalaryChangeMentioned,VacationMentioned,polite_message,Resigned,Group
1038,82,111,11,10,35,1.3373493975903614,7,0,0,139,0.8737285728821795,1,10,3,3,22,0,3,1,0,0,1,1,0,1,Development Department
1039,22,66,0,15,32,2.869565217391304,6,2,0,122,1.4292333722533894,0,2,3,1,22,0,4,1,0,0,0,0,0,0,IT Infrastructure
1040,61,66,0,14,37,1.064516129032258,9,0,1,332,1.3540783314876301,0,0,5,0,19,1,5,1,0,1,1,0,0,0,IT Infrastructure
1041,22,101,0,14,39,4.391304347826087,2,0,0,136,1.2652081496724348,0,5,3,0,25,0,2,1,0,0,0,0,0,0,Research and Development
1042,49,104,0,15,37,2.08,6,2,2,234,0.7700600528510584,1,2,5,2,15,0,4,0,1,0,0,1,0,0,IT Infrastructure
1043,42,80,0,9,34,1.8604651162790697,2,0,0,171,1.9490061637472993,1,5,4,0,25,1,3,1,0,0,0,0,1,1,Development Department
1044,16,98,2,14,28,5.764705882352941,5,1,0,97,1.3148451198576332,1,4,5,1,20,0,4,1,0,1,0,1,0,0,Sales and Marketing
1045,30,105,0,9,28,3.3870967741935485,6,2,1,101,0.7870763456434386,0,8,4,3,20,0,2,1,0,0,0,1,0,1,Research and Development
1046,19,60,0,13,28,3.0,4,2,0,215,0.6456184087325657,9,2,2,1,20,0,1,0,0,0,0,1,0,0,Development Department
1047,78,78,0,19,36,0.9873417721518988,6,0,2,60,0.758510200751151,0,8,5,2,12,0,3,1,0,0,0,1,0,1,Sales and Marketing
1048,82,77,0,14,33,0.927710843373494,5,0,1,99,0.9735206729475595,0,6,5,2,24,3,5,1,1,0,0,1,0,1,Development Department
1049,57,117,7,18,39,2.0172413793103448,6,3,1,102,1.5056575256119946,0,1,4,2,20,1,2,1,0,0,1,1,0,0,Research and Development
1050,95,92,0,15,38,0.9583333333333334,6,1,0,329,1.9851535054968596,0,7,3,1,24,0,5,1,0,0,0,1,0,1,IT Infrastructure
1051,73,127,10,13,32,1.7162162162162162,8,6,6,427,0.9595880004953666,2,7,5,1,42,0,3,1,0,0,1,1,1,1,Research and Development
1052,34,82,0,11,33,2.342857142857143,7,0,1,92,1.7549921220329034,1,7,5,1,16,0,4,1,1,0,1,1,0,1,IT Infrastructure
1053,64,126,0,12,34,1.9384615384615385,5,2,1,1419,1.9252333530997896,6,5,7,0,27,0,6,1,0,0,0,1,0,1,Research and Development
1054,83,84,0,14,31,1.0,11,1,3,411,1.1173588625787212,6,5,2,3,23,0,3,1,0,0,0,0,1,1,Quality Assurance
1055,92,127,0,18,32,1.3655913978494623,9,2,2,199,0.920878132822649,1,8,6,1,23,0,4,1,0,1,1,0,0,1,Development Department
1056,76,69,10,20,39,0.8961038961038961,9,7,1,439,1.2634834662218202,8,4,4,2,19,0,4,0,0,0,1,0,0,0,Development Department
1057,14,55,0,12,32,3.6666666666666665,6,2,3,67,1.9550681473109641,0,2,2,2,26,0,4,0,0,0,0,1,0,0,Quality Assurance
1058,11,53,1,13,32,4.416666666666667,4,1,0,74,0.6489728022092025,0,1,2,0,26,0,3,0,0,0,0,0,0,0,IT Infrastructure
1059,19,102,0,13,30,5.1,5,0,1,167,1.3829472154131572,0,5,4,2,18,0,5,0,1,1,0,0,0,0,Development Department
1060,20,94,2,5,37,4.476190476190476,4,3,0,96,1.7706786071434186,1,0,3,2,26,0,3,0,0,0,0,1,0,0,Quality Assurance
1061,70,72,0,15,27,1.0140845070422535,11,4,4,74,1.432118178950047,0,1,2,1,20,3,3,1,0,0,0,0,0,0,Development Department
1062,76,146,0,8,38,1.896103896103896,5,0,1,136,1.3028921921398793,0,11,7,0,24,0,6,1,0,1,0,0,0,1,Sales and Marketing
1063,22,62,0,11,34,2.6956521739130435,6,0,1,95,1.4112893673474454,1,5,4,1,25,0,0,1,0,0,1,1,0,0,IT Infrastructure
1064,18,95,0,7,31,5.0,10,0,0,161,1.5788474869517573,5,5,4,0,16,0,3,1,0,0,1,0,0,0,Sales and Marketing
1065,79,78,10,17,35,0.975,9,0,1,117,1.5523627316381352,1,1,3,2,23,2,4,1,0,1,1,0,0,1,IT Infrastructure
1066,68,107,0,14,35,1.5507246376811594,6,5,1,91,1.0808001186748077,0,6,5,2,26,1,6,1,0,0,0,0,0,0,Quality Assurance
1067,32,130,0,18,35,3.9393939393939394,8,1,1,203,1.3942436385884753,0,2,5,1,22,0,6,1,0,0,1,0,0,1,IT Infrastructure
1068,12,86,0,5,33,6.615384615384615,5,0,0,244,1.1088168586808973,0,3,5,2,15,0,1,1,0,0,0,0,0,0,IT Infrastructure
1069,42,108,0,13,34,2.511627906976744,6,1,0,114,2.0513339159214126,1,1,4,1,34,0,3,0,0,1,1,0,0,1,Quality Assurance
1070,31,103,4,10,35,3.21875,5,1,0,439,0.8774946007661261,1,1,6,3,18,1,5,1,0,1,0,0,0,1,IT Infrastructure
1071,61,68,8,9,33,1.096774193548387,6,1,1,245,0.7588890649126898,0,1,3,2,30,0,3,0,0,0,0,1,0,0,Development Department
1072,45,108,6,17,29,2.347826086956522,7,0,1,102,0.9736681962210892,1,8,4,2,26,1,1,0,0,0,0,1,0,0,Research and Development
1073,102,137,0,22,34,1.3300970873786409,8,1,1,144,1.919984288382903,0,0,6,0,24,3,4,1,1,0,1,1,0,1,Quality Assurance
1074,32,105,4,16,35,3.1818181818181817,6,2,0,124,1.5837386325817024,1,0,5,2,25,0,2,0,0,0,0,1,0,1,Research and Development
1075,85,110,11,15,35,1.2790697674418605,5,1,1,151,1.2222633815484312,0,2,6,2,23,3,5,1,0,0,1,1,0,1,Quality Assurance
1076,70,81,0,11,38,1.1408450704225352,12,10,3,64,1.9223184634673518,0,5,2,2,26,1,1,1,1,0,1,0,0,1,Quality Assurance
1077,11,94,0,10,36,7.833333333333333,7,1,5,89,2.085220788754035,0,0,4,0,25,0,3,0,1,0,0,0,0,0,Sales and Marketing
1078,20,103,2,10,29,4.904761904761905,4,1,0,107,1.2495316160457837,1,4,5,2,18,0,1,1,0,1,1,0,0,0,Sales and Marketing
1079,13,55,0,9,31,3.9285714285714284,3,2,0,389,1.4633185875419314,0,3,1,1,23,0,1,0,0,0,0,0,0,0,IT Infrastructure
1080,29,71,4,10,31,2.3666666666666667,4,1,0,135,1.9290609729378645,2,3,5,0,19,0,2,0,0,1,1,1,0,1,Research and Development
1081,26,115,0,20,34,4.2592592592592595,8,2,2,110,1.1068757713698516,0,6,4,2,23,0,3,0,0,0,0,1,0,1,Quality Assurance
1082,19,61,0,13,32,3.05,6,1,1,81,1.2028058470954115,0,2,2,1,22,0,3,0,0,0,1,0,1,0,IT Infrastructure
1083,58,103,8,12,37,1.7457627118644068,5,2,1,197,1.7418947736382162,1,0,5,1,23,1,2,1,0,0,0,0,1,0,Development Department
1084,64,114,8,12,35,1.7538461538461538,11,2,0,137,1.6005736526503216,0,7,5,0,16,1,3,0,0,0,1,0,0,0,Quality Assurance
1085,88,78,0,17,39,0.8764044943820225,5,2,4,104,0.5992677228264847,0,3,2,2,31,3,4,0,0,1,1,0,1,0,Development Department
1086,76,119,10,18,36,1.5454545454545454,9,2,4,133,0.7224282911705828,1,6,7,0,36,3,6,1,0,0,1,1,0,1,IT Infrastructure
1087,97,89,0,17,29,0.9081632653061225,11,3,1,211,1.7966407151664987,2,10,4,2,29,1,4,1,0,0,1,1,0,1,Sales and Marketing
1088,68,83,9,20,31,1.2028985507246377,6,4,1,79,0.58069506302059,1,2,2,0,22,1,5,1,1,0,0,1,1,1,IT Infrastructure
1089,23,107,3,11,37,4.458333333333333,6,1,2,96,2.013643808335407,1,6,5,1,23,0,6,0,0,0,0,0,0,0,Development Department
1090,12,100,1,8,25,7.6923076923076925,4,0,0,90,1.1383983592722895,3,3,6,3,26,0,4,0,1,0,0,0,0,0,Quality Assurance
1091,31,72,0,12,26,2.25,5,1,0,73,1.465068773598678,0,5,3,2,29,0,4,1,0,1,0,0,0,1,Research and Development
1092,94,137,0,13,35,1.4421052631578948,7,7,2,136,1.3901344843329955,0,12,6,0,32,3,6,1,0,0,1,1,1,1,IT Infrastructure
1093,74,83,10,15,38,1.1066666666666667,3,1,1,270,1.1275806342366486,0,6,5,2,28,2,5,1,0,0,1,1,1,1,Quality Assurance
1094,28,75,0,9,39,2.586206896551724,4,0,0,243,0.6247415923103808,0,1,5,0,25,0,2,1,0,0,0,1,0,1,Sales and Marketing
1095,21,66,0,7,31,3.0,2,2,0,127,0.8787068911931518,0,5,4,2,22,0,1,1,0,0,1,0,1,0,Sales and Marketing
1096,23,66,3,18,38,2.75,6,1,0,125,1.5049602287503905,1,4,4,1,17,1,5,0,1,0,0,0,0,1,Sales and Marketing
1097,20,98,0,13,34,4.666666666666667,3,4,1,99,1.3095591590636233,0,7,2,1,19,0,1,1,0,0,1,0,0,0,Quality Assurance
1098,10,87,0,11,25,7.909090909090909,8,0,2,66,1.358028296301112,0,6,6,1,19,0,5,0,0,0,0,0,0,0,IT Infrastructure
1099,63,98,0,11,33,1.53125,5,14,2,165,0.6924918511844729,3,4,7,1,26,1,3,0,0,0,0,0,0,0,Quality Assurance
1100,48,109,0,13,31,2.2244897959183674,8,0,1,181,1.0874258317468197,1,0,4,0,15,1,2,0,0,0,0,0,0,0,Quality Assurance
1101,69,114,0,17,39,1.6285714285714286,7,3,2,123,1.3385029709460459,0,5,4,1,28,1,5,1,0,0,1,1,0,1,Research and Development
1102,16,105,2,10,34,6.176470588235294,7,3,0,92,0.8018332200606759,0,0,3,3,11,0,4,1,1,0,0,0,0,0,Research and Development
1103,74,79,0,13,26,1.0533333333333332,6,3,1,79,0.6316436289329527,0,4,5,0,28,2,5,1,0,1,0,0,0,1,IT Infrastructure
1104,32,130,0,11,27,3.9393939393939394,2,1,0,174,1.3555118930101298,0,5,4,2,28,1,1,1,0,0,1,1,0,1,Research and Development
1105,64,70,8,15,33,1.0769230769230769,9,2,1,140,1.3741859530689842,2,4,2,0,30,0,5,0,0,0,0,1,0,0,Sales and Marketing
1106,22,66,3,11,20,2.869565217391304,6,0,0,254,0.972549213460146,3,0,3,1,17,0,4,1,0,0,0,0,0,0,Research and Development
1107,30,73,4,19,30,2.3548387096774195,6,1,1,81,1.0592946817387838,0,5,3,0,25,0,0,1,0,1,1,1,0,1,Sales and Marketing
1108,67,103,0,11,35,1.5147058823529411,5,2,2,135,1.740746813278545,0,4,4,2,29,2,1,1,0,0,0,1,0,0,IT Infrastructure
1109,66,66,9,11,27,0.9850746268656716,7,3,0,132,1.833406274804668,1,5,3,1,34,1,3,1,0,0,1,0,1,0,Quality Assurance
1110,68,104,0,17,39,1.5072463768115942,6,1,1,121,1.03306042129483,2,1,6,2,27,1,6,1,0,0,0,1,0,0,Quality Assurance
1111,74,71,0,15,38,0.9466666666666667,8,1,1,250,1.0619718464245933,0,6,6,1,31,1,3,0,0,0,0,0,0,0,Research and Development
1112,88,102,0,21,28,1.146067415730337,7,2,1,382,1.7798718583933422,2,4,4,1,25,3,3,1,0,0,0,1,0,1,Sales and Marketing
1113,33,107,0,12,32,3.1470588235294117,4,2,2,98,2.0551635168225464,1,6,7,1,18,0,6,0,0,0,1,1,0,1,Development Department
1114,72,114,0,15,39,1.5616438356164384,8,6,1,134,1.027739108014062,1,10,3,3,30,2,6,1,1,1,0,0,0,1,Development Department
1115,90,132,12,14,36,1.4505494505494505,8,1,2,433,1.7266063403466887,7,9,5,2,32,0,6,1,1,1,1,1,0,1,Development Department
1116,31,122,0,15,27,3.8125,6,5,1,181,1.3339135533121853,0,5,2,1,19,1,5,1,1,0,0,0,0,1,Quality Assurance
1117,57,68,7,13,32,1.1724137931034482,10,9,1,139,0.9307644822603222,1,5,3,2,18,0,1,1,1,1,0,0,0,0,Quality Assurance
1118,34,116,0,13,30,3.3142857142857145,5,0,1,181,1.6221063662631672,0,6,6,3,23,1,3,1,1,0,0,1,0,1,Sales and Marketing
1119,84,130,0,15,40,1.5294117647058822,8,2,2,262,1.2397079181945787,2,6,4,0,27,3,7,1,0,0,0,0,0,1,Research and Development
1120,81,85,0,15,36,1.0365853658536586,7,2,2,190,0.9333412202241202,0,8,3,2,28,0,3,1,0,0,1,0,0,1,Development Department
1121,37,108,5,12,33,2.8421052631578947,4,1,0,166,0.7461076237359472,1,4,2,3,27,0,2,1,0,0,1,1,0,1,Sales and Marketing
1122,61,110,8,12,35,1.7741935483870968,6,2,0,160,1.8536574271739419,0,6,7,1,30,0,4,0,1,0,0,1,0,0,Sales and Marketing
1123,68,109,9,19,28,1.5797101449275361,6,2,1,403,1.865393009490762,3,4,4,2,26,0,4,0,1,1,1,0,0,0,Research and Development
1124,75,114,10,16,31,1.5,7,1,1,146,0.6574426338706885,1,10,7,1,21,2,6,0,0,0,1,0,0,0,Sales and Marketing
1125,67,102,9,12,42,1.5,9,0,3,156,1.5400930559123658,2,5,5,0,22,3,2,0,0,0,0,1,0,0,Research and Development
1126,32,80,4,11,33,2.4242424242424243,4,0,0,387,0.8165934186496966,3,1,4,0,19,1,4,1,1,1,0,1,1,1,IT Infrastructure
1127,34,111,4,14,39,3.1714285714285713,5,2,0,176,1.5646229773972582,1,3,6,2,22,0,5,1,0,0,1,0,0,1,Research and Development
1128,58,63,0,19,33,1.0677966101694916,11,1,2,120,1.8934596886456383,1,1,4,1,22,1,5,0,1,0,0,0,0,0,Development Department
1129,88,123,0,20,41,1.3820224719101124,7,5,1,255,0.9317827094905413,0,1,6,0,26,3,4,0,0,0,0,0,0,1,Development Department
1130,18,63,0,17,22,3.3157894736842106,2,0,0,118,1.121367533375721,1,4,4,0,21,0,1,1,0,0,1,0,0,0,Research and Development
1131,16,59,0,6,31,3.4705882352941178,5,1,0,68,1.7968125858262334,0,3,1,1,18,0,3,1,0,0,1,0,1,0,IT Infrastructure
1132,85,72,0,15,41,0.8372093023255814,8,6,1,164,1.6281769681847549,0,0,2,1,29,2,4,0,0,0,0,1,0,0,IT Infrastructure
1133,20,109,0,14,39,5.190476190476191,3,0,0,103,1.2686972123974067,3,6,6,1,30,0,1,1,0,0,1,0,1,0,Development Department
1134,35,102,0,10,40,2.8333333333333335,12,1,1,518,1.857822118916419,1,4,4,0,22,0,2,1,0,0,1,1,0,1,IT Infrastructure
1135,19,62,0,12,32,3.1,3,4,0,119,1.9738782167469466,0,0,2,3,18,0,1,1,0,0,1,0,0,0,Sales and Marketing
1136,23,103,3,9,31,4.291666666666667,5,1,0,97,1.307715457701376,0,3,4,1,23,0,2,0,0,0,0,0,0,1,Quality Assurance
1137,75,131,0,14,30,1.7236842105263157,10,1,2,150,0.610887930221632,0,4,6,5,22,1,6,1,0,1,1,1,0,1,Sales and Marketing
1138,19,63,0,10,27,3.15,7,0,2,172,1.3586599670706916,0,1,3,0,20,0,2,1,0,1,0,0,0,0,Development Department
1139,95,134,13,22,40,1.3958333333333333,8,6,2,124,1.6513986893067605,0,6,7,4,24,2,5,1,0,0,0,1,0,1,IT Infrastructure
1140,93,89,0,15,36,0.9468085106382979,8,3,2,1448,0.8584578690357477,6,6,5,2,22,3,2,1,0,0,1,1,0,1,Research and Development
1141,16,103,0,18,33,6.0588235294117645,5,0,0,85,0.8309101867922277,1,4,6,3,17,0,6,1,0,0,1,0,0,0,Quality Assurance
1142,74,76,0,14,35,1.0133333333333334,3,3,0,272,0.9582219653355246,0,2,2,0,23,2,5,1,0,1,1,0,0,0,Research and Development
1143,76,115,0,15,35,1.4935064935064934,5,1,1,134,0.5621855278197394,0,8,6,4,21,1,4,0,0,0,0,0,0,0,Development Department
1144,18,104,0,9,38,5.473684210526316,7,11,1,99,1.7374181208171184,0,7,4,0,27,0,1,0,0,0,1,1,0,0,IT Infrastructure
1145,11,53,0,6,36,4.416666666666667,3,0,0,122,0.8516025485839671,2,4,4,0,23,0,3,1,0,0,0,1,0,0,Research and Development
1146,29,69,0,18,27,2.3,3,1,1,91,1.6544735331380729,1,5,2,1,27,0,2,1,0,0,0,0,1,1,Research and Development
1147,83,125,11,20,37,1.4880952380952381,7,1,1,524,0.8964648460232871,2,5,6,2,20,2,6,0,0,0,0,0,0,1,Quality Assurance
1148,52,63,0,18,24,1.1886792452830188,6,1,0,63,2.0237535405325264,0,0,4,0,23,1,4,0,0,0,0,0,0,0,Quality Assurance
1149,70,73,9,9,34,1.028169014084507,9,1,2,201,1.328538143522663,1,6,3,2,28,1,1,1,1,1,1,0,1,0,IT Infrastructure
1150,73,90,0,13,36,1.2162162162162162,7,1,0,128,0.598494770488766,0,6,5,3,34,2,2,1,1,0,0,1,1,1,Quality Assurance
1151,18,59,0,9,25,3.1052631578947367,3,0,0,120,1.7521762109818115,0,4,2,1,17,0,0,1,0,0,0,0,0,0,Research and Development
1152,76,71,10,12,31,0.922077922077922,8,1,1,195,1.1427977053580833,2,3,5,2,20,3,6,0,1,0,1,0,0,0,Research and Development
1153,24,100,0,8,34,4.0,5,6,0,81,1.530981932422411,0,8,6,3,23,0,5,0,0,1,0,1,0,0,Development Department
1154,43,86,5,17,34,1.9545454545454546,4,0,0,156,1.9854561978932839,3,0,5,1,20,1,5,0,1,0,0,0,0,1,Research and Development
1155,17,58,0,15,30,3.2222222222222223,6,1,3,213,1.3725713244348836,6,1,5,1,30,0,0,0,1,1,0,0,0,0,IT Infrastructure
1156,28,71,3,9,27,2.4482758620689653,4,1,0,157,1.7800128234772516,0,4,3,2,25,1,2,1,1,0,0,1,0,1,Sales and Marketing
1157,74,86,0,16,33,1.1466666666666667,7,3,0,120,0.9885892259363217,0,5,4,0,25,1,5,1,1,0,0,1,0,1,Development Department
1158,16,86,0,13,25,5.0588235294117645,11,5,0,74,1.7235462710464546,0,1,3,1,19,0,1,0,0,0,0,0,0,0,Development Department
1159,70,81,9,17,32,1.1408450704225352,4,2,0,198,0.6832098586544901,3,3,5,1,25,3,5,1,0,1,0,0,1,1,IT Infrastructure
1160,22,110,3,11,32,4.782608695652174,4,4,0,488,1.9835018433131122,4,1,6,1,12,0,5,0,0,0,0,1,0,0,IT Infrastructure
1161,25,96,0,13,33,3.6923076923076925,9,4,0,194,0.9103903418076295,1,7,4,2,22,0,5,1,0,0,1,1,1,1,Quality Assurance
1162,29,67,4,14,30,2.2333333333333334,8,5,2,264,1.0198943020879936,2,3,3,0,20,0,1,1,0,1,0,1,0,1,Development Department
1163,84,80,0,11,25,0.9411764705882353,6,2,2,282,1.96555311612228,1,8,5,2,30,0,4,1,1,0,0,1,0,1,Quality Assurance
1164,12,106,0,6,32,8.153846153846153,8,3,5,108,0.977435773038379,2,3,6,0,16,0,6,1,0,0,0,0,1,0,Research and Development
1165,35,112,0,11,39,3.111111111111111,7,1,0,157,0.9749479725562663,0,2,5,2,26,1,5,1,0,0,0,1,0,1,Development Department
1166,21,103,2,8,40,4.681818181818182,4,0,1,220,1.5107234927487407,0,3,3,2,24,0,2,1,0,0,1,1,0,0,Development Department
1167,14,57,1,9,44,3.8,3,0,0,51,2.085040998770424,0,3,2,1,22,0,0,0,0,1,0,0,0,0,Sales and Marketing
1168,53,99,0,16,42,1.8333333333333333,11,2,1,223,1.5921292118488832,0,8,3,0,30,1,5,1,0,0,0,1,0,0,Development Department
1169,68,79,0,12,27,1.144927536231884,9,1,0,354,0.7056329386020778,2,1,5,1,16,2,2,1,0,1,0,0,0,1,Research and Development
1170,27,124,3,10,33,4.428571428571429,5,1,3,150,1.75503287130765,0,1,6,1,24,1,6,0,0,0,1,1,0,1,Quality Assurance
1171,10,87,0,8,33,7.909090909090909,5,0,3,169,1.3765959240772212,0,1,3,1,20,0,2,1,0,0,1,0,0,0,Quality Assurance
1172,82,77,0,16,32,0.927710843373494,8,2,3,104,2.016324736592049,0,2,3,1,26,0,5,1,0,1,0,1,0,1,Sales and Marketing
1173,52,66,0,11,32,1.2452830188679245,2,2,0,129,1.4804340807625342,0,4,4,0,19,0,3,0,0,0,0,1,0,0,Research and Development
1174,74,112,0,14,46,1.4933333333333334,4,1,1,144,1.3427338426389634,0,8,4,4,19,3,7,1,0,0,1,0,0,1,Quality Assurance
1175,14,57,0,10,26,3.8,5,0,0,126,1.4498977345667705,1,1,4,0,25,0,1,1,0,1,0,0,1,0,IT Infrastructure
1176,74,82,0,13,29,1.0933333333333333,4,1,0,135,1.495142716184363,1,7,4,2,30,0,5,1,0,1,1,1,0,1,Research and Development
1177,23,94,3,10,42,3.9166666666666665,7,5,0,77,1.715243916518596,0,3,6,1,31,0,1,1,0,1,1,1,0,0,Research and Development
1178,77,89,10,20,31,1.141025641025641,8,8,2,104,0.6517135220698521,0,4,5,3,36,3,3,0,1,0,0,1,0,1,Sales and Marketing
1179,49,64,0,12,34,1.28,8,6,2,592,0.734404279714365,13,5,3,1,16,1,5,0,0,0,0,0,0,0,Quality Assurance
1180,20,97,0,11,39,4.619047619047619,7,1,2,175,1.0892880168521182,0,0,5,2,20,0,1,0,0,0,0,0,0,0,Research and Development
1181,56,94,0,11,36,1.6491228070175439,7,1,1,75,1.2664051713685403,0,5,4,0,26,1,4,1,0,1,0,0,0,0,Quality Assurance
1182,35,87,0,10,34,2.4166666666666665,6,8,1,301,1.0391010961522298,7,4,7,3,27,1,2,1,0,0,1,0,0,1,IT Infrastructure
1183,94,103,13,20,39,1.0842105263157895,7,1,2,100,0.8532835093850455,0,4,4,3,35,1,4,1,0,0,1,1,0,1,Sales and Marketing
1184,16,60,2,16,28,3.5294117647058822,5,0,1,181,1.9934269155161113,1,2,2,1,16,0,3,1,1,0,0,1,0,0,IT Infrastructure
