id,SentMessages,ReceivedMessages,MessagesOutsideWorkHours,SentFrequency,ReceivedFrequency,SentReceivedRatio,UniqueRecipients,HiddenCopy,CarbonCopy,TextLength,BytesSentReceivedRatio,QuestionMarks,ResponseTime,MessagesReadLater,DaysBetweenReceivedAndRead,AnsweredMessages,UnansweredMessages,UnrepliedMessages,MentionColleagues,MoodType,StressKeywordsPresent,SalaryChangeMentioned,VacationMentioned,PoliteMessage,Resigned,Group
1012,71,96,2,13,14,1.3333333333333333,5,1,2,432,1.868089246163609,4,3,5,1,26,15,7,1,1,1,0,0,0,1,Development Department
1013,71,63,2,9,7,0.875,10,5,4,237,0.710812262593246,3,6,6,2,20,11,2,1,0,3,0,1,0,0,Development Department
1014,60,90,2,19,15,1.4754098360655739,11,1,4,224,0.6588042333361983,3,2,7,1,17,11,2,2,0,3,0,1,0,0,Quality Assurance
1015,76,74,3,22,16,0.961038961038961,6,3,2,139,0.6013386275880667,4,6,5,1,18,17,15,2,0,1,0,1,0,0,Quality Assurance
1016,64,80,2,10,21,1.2307692307692308,4,3,4,61,0.6412213270769915,4,4,5,0,17,11,11,1,0,1,0,0,0,0,Research and Development
1017,70,80,2,16,12,1.1267605633802817,4,3,4,140,1.7631553704549172,4,4,4,2,17,14,14,2,0,0,0,1,0,0,Research and Development
1018,63,95,2,14,15,1.484375,3,3,5,109,1.8496259353701712,4,3,4,1,27,13,5,1,0,2,0,1,0,0,Development Department
1019,69,93,2,15,11,1.3285714285714285,11,2,4,177,0.7132985441910416,5,2,5,0,27,10,8,0,0,0,0,0,0,1,Research and Development
1020,64,81,2,19,16,1.2461538461538462,7,3,5,103,0.5011893428414689,4,3,3,2,17,14,9,4,0,0,0,0,0,0,Quality Assurance
1021,62,79,2,10,17,1.253968253968254,8,2,4,292,1.820894851858051,4,5,4,2,25,16,9,1,0,2,0,1,0,0,Research and Development
1022,64,97,2,12,14,1.4923076923076923,10,3,9,27,1.2312920666733116,3,2,4,3,18,16,13,1,0,3,0,0,0,0,Sales and Marketing
1023,75,103,3,15,14,1.355263157894737,7,5,4,40,0.7604104214666666,4,5,6,1,17,11,10,1,0,0,0,0,0,0,Quality Assurance
1024,65,82,2,10,13,1.2424242424242424,4,2,2,144,0.5429373157579058,3,2,4,1,37,15,6,2,0,0,1,0,0,1,Sales and Marketing
1025,84,94,3,15,17,1.1058823529411765,10,1,2,212,0.5169613891668543,4,4,5,0,31,11,5,2,0,1,0,0,1,1,Research and Development
1026,71,107,2,12,19,1.4861111111111112,6,5,1,206,0.638104698030437,5,3,5,0,34,14,7,0,0,1,1,0,0,1,IT Infrastructure
1027,71,93,2,13,17,1.2916666666666667,4,1,1,214,1.72012648635967,4,3,4,0,38,5,4,1,0,0,0,0,0,1,Development Department
1028,75,73,3,15,14,0.9605263157894737,9,3,3,178,1.0045390162446102,5,2,3,1,27,10,7,1,1,0,0,0,0,1,Quality Assurance
1029,72,80,2,10,16,1.095890410958904,7,4,4,242,1.6459096461248095,3,5,5,1,20,22,2,2,0,2,0,1,0,0,Sales and Marketing
1030,70,89,2,10,18,1.2535211267605635,7,2,3,192,1.2030517653740485,5,1,4,0,31,12,6,1,0,1,0,0,0,1,IT Infrastructure
1031,83,90,3,17,11,1.0714285714285714,8,1,2,298,0.890619081916902,4,3,4,0,32,11,9,2,1,1,0,0,0,1,IT Infrastructure
1032,71,75,2,15,20,1.0416666666666667,7,1,4,393,0.8012838378654065,4,3,6,2,25,11,14,0,0,1,0,1,0,0,Quality Assurance
1033,62,88,2,12,14,1.3968253968253967,8,2,6,254,1.0200311702564364,4,5,6,0,31,8,14,1,0,2,0,1,0,0,Quality Assurance
1034,75,91,3,12,17,1.1973684210526316,5,1,3,126,0.6693373787874908,5,2,4,1,18,16,8,3,0,1,0,0,0,1,IT Infrastructure
1035,68,91,2,14,19,1.318840579710145,6,3,6,29,1.5081478688095546,3,5,4,0,26,12,13,1,0,1,0,1,0,0,Development Department
1036,71,76,2,20,17,1.0555555555555556,12,3,3,169,1.5003688850658363,3,4,7,3,21,15,14,0,0,2,0,0,0,0,Development Department
1037,71,87,2,13,18,1.2083333333333333,2,2,2,250,0.8553804627586139,4,5,6,2,24,16,14,1,0,2,0,1,0,0,Sales and Marketing
1038,62,82,2,14,16,1.3015873015873016,3,4,7,253,1.6212646031995668,4,2,4,2,18,22,13,3,0,0,0,1,0,0,Development Department
1039,73,104,2,12,22,1.4054054054054055,9,1,2,49,1.2575056035642382,3,6,6,1,24,16,4,1,0,2,0,0,0,0,IT Infrastructure
1040,72,81,2,12,12,1.1095890410958904,3,1,1,176,1.3139297046935172,4,3,4,0,23,8,3,1,0,1,0,0,0,1,IT Infrastructure
1041,69,83,2,18,17,1.1857142857142857,5,3,2,255,1.6998408655307375,5,3,4,1,30,16,7,2,1,0,0,0,0,1,Research and Development
1042,64,84,2,13,15,1.2923076923076924,11,3,5,69,0.6812543778128961,4,4,6,2,22,11,9,1,0,3,0,0,0,0,IT Infrastructure
1043,66,93,2,20,16,1.3880597014925373,5,1,3,208,0.7557314447971862,4,3,3,0,29,13,4,0,0,1,0,0,0,1,Development Department
1044,62,87,2,14,17,1.380952380952381,11,3,7,225,0.7782296689737083,4,4,5,2,18,16,11,1,0,2,0,1,0,0,Sales and Marketing
1045,78,85,3,20,22,1.0759493670886076,9,1,5,513,1.5667822056442264,3,4,6,1,23,11,4,1,0,1,0,0,0,0,Research and Development
1046,71,78,2,12,19,1.0833333333333333,6,4,5,121,1.43580684671657,4,5,4,0,24,12,10,1,0,4,0,1,0,0,Development Department
1047,70,89,2,16,16,1.2535211267605635,11,4,2,368,1.929358801249496,4,1,5,0,30,14,9,0,1,1,0,0,0,1,Sales and Marketing
1048,80,81,3,22,16,1.0,5,3,7,78,0.6741262976781639,4,3,6,0,20,14,13,2,0,2,0,1,0,0,Development Department
1049,73,94,2,16,14,1.2702702702702702,4,2,4,122,0.7495383552796704,3,3,4,0,23,7,2,1,0,0,1,0,1,1,Research and Development
1050,66,82,2,14,17,1.2238805970149254,7,5,3,194,0.5989640136471277,3,4,5,1,26,16,15,1,0,0,0,1,0,0,IT Infrastructure
1051,68,90,2,13,21,1.3043478260869565,7,2,3,112,0.7276981118953676,4,3,4,0,29,11,6,0,0,0,0,0,1,1,Research and Development
1053,71,79,2,12,15,1.0972222222222223,8,3,5,265,0.5326035318632607,4,5,4,3,18,16,10,1,0,1,0,1,0,0,Research and Development
1054,58,83,2,15,13,1.4067796610169492,12,3,6,106,1.2568748210845166,3,5,6,1,19,15,12,2,0,2,0,1,0,0,Quality Assurance
1055,72,92,2,14,16,1.2602739726027397,1,5,1,104,1.2195631182872007,4,3,5,0,19,6,4,0,0,0,0,0,0,1,Development Department
1056,77,74,3,24,8,0.9487179487179487,9,2,4,848,0.5354957927210539,4,3,5,1,23,12,13,1,0,2,0,0,0,0,Development Department
1057,69,71,2,9,14,1.0142857142857142,6,1,2,63,1.4803422390941636,3,4,5,1,12,14,19,0,0,0,0,0,0,0,Quality Assurance
1058,73,89,2,22,18,1.2027027027027026,9,4,2,153,0.5096556884021629,3,2,4,0,20,12,15,1,0,3,0,0,0,0,IT Infrastructure
1059,80,105,3,17,16,1.2962962962962963,5,1,2,101,1.4658064762035778,5,2,4,0,27,13,12,2,0,0,0,0,0,1,Development Department
1060,90,94,3,16,20,1.032967032967033,4,2,2,174,1.1038661469819675,4,3,5,1,26,14,8,1,1,1,0,0,0,1,Quality Assurance
1061,64,81,2,11,20,1.2461538461538462,7,3,3,53,1.3688748401441853,4,6,7,1,15,16,7,1,0,2,0,0,0,0,Development Department
1062,63,64,2,11,11,1.0,14,2,5,325,1.634173011578085,4,3,5,2,21,16,11,1,0,3,0,0,0,0,Sales and Marketing
1063,58,79,2,14,18,1.3389830508474576,9,5,2,104,1.1268326320323496,3,2,4,1,27,13,9,1,0,1,0,0,0,0,IT Infrastructure
1064,54,78,2,10,13,1.4181818181818182,9,3,6,253,1.4115259374889324,4,5,6,2,24,10,6,3,0,2,0,0,0,0,Sales and Marketing
1065,78,112,3,20,20,1.4177215189873418,9,4,3,107,0.8635001653281674,4,2,5,1,28,10,9,2,0,1,0,0,1,1,IT Infrastructure
1066,57,95,2,14,18,1.6379310344827587,9,3,7,192,0.8090223799415268,4,4,4,0,20,11,9,1,0,0,0,1,0,0,Quality Assurance
1067,75,104,3,16,15,1.368421052631579,9,2,2,366,0.5658960286808915,4,2,4,1,43,13,9,1,0,0,0,0,0,1,IT Infrastructure
1068,87,76,3,19,11,0.8636363636363636,6,1,4,135,1.927673123103156,4,2,4,0,34,12,7,3,1,1,0,0,0,1,IT Infrastructure
1069,83,105,3,17,12,1.25,6,3,2,145,1.6293384634726158,4,3,4,0,30,17,9,2,1,0,0,0,0,1,Quality Assurance
1070,58,79,2,11,13,1.3389830508474576,5,2,4,51,0.5521254568293428,3,4,6,0,11,16,11,1,0,3,0,1,0,0,IT Infrastructure
1071,67,80,2,17,13,1.1764705882352942,3,1,2,191,1.7458042272021372,5,3,3,0,23,12,6,2,0,1,0,0,0,1,Development Department
1072,76,94,3,13,16,1.2207792207792207,8,2,3,110,1.0627235927983154,4,2,6,0,19,13,4,2,0,1,0,0,0,1,Research and Development
1073,69,80,2,13,14,1.1428571428571428,8,2,5,114,1.2840543811208005,4,4,5,1,24,15,5,1,0,1,0,0,0,0,Quality Assurance
1074,79,85,3,14,14,1.0625,6,1,2,212,1.3412457432023048,5,3,4,0,25,11,1,0,1,1,0,0,0,1,Research and Development
1075,73,116,2,18,22,1.5675675675675675,8,1,3,245,1.1540726595191657,3,4,5,1,25,16,5,2,0,1,0,0,0,1,Quality Assurance
1076,67,95,2,17,16,1.3970588235294117,8,3,2,510,1.7506875377734827,4,3,5,0,20,13,8,3,1,0,0,0,0,1,Quality Assurance
1077,72,83,2,14,15,1.1369863013698631,5,1,5,145,1.4907821732687343,3,5,4,2,21,14,7,0,0,2,0,1,0,0,Sales and Marketing
1078,86,75,3,11,10,0.8620689655172413,1,1,5,157,1.9088061461194121,3,3,3,0,21,7,2,2,0,1,0,0,0,1,Sales and Marketing
1079,62,84,2,8,12,1.3333333333333333,10,1,2,168,1.0134647939263444,4,3,3,0,33,8,4,2,1,0,0,0,1,1,IT Infrastructure
1080,70,79,2,19,18,1.1126760563380282,7,1,3,321,0.9164062996647322,4,5,5,1,16,16,8,2,0,1,0,0,0,0,Research and Development
1081,60,90,2,14,14,1.4754098360655739,3,3,4,85,0.6892683959443336,3,2,7,2,20,14,14,2,0,2,0,0,0,0,Quality Assurance
1082,77,94,3,16,18,1.205128205128205,5,3,5,72,1.8996984339959608,4,4,6,1,33,13,11,1,0,1,0,0,0,0,IT Infrastructure
1083,83,97,3,20,21,1.1547619047619047,5,3,1,133,1.6349682008078055,3,3,4,1,19,15,10,1,0,1,0,0,0,1,Development Department
1084,78,92,3,16,14,1.1645569620253164,7,3,3,139,1.1382959258454355,4,3,6,0,29,12,7,0,0,0,0,0,0,1,Quality Assurance
1085,69,84,2,13,17,1.2,6,2,3,263,0.7285113446916662,4,4,4,1,14,16,8,0,0,2,0,1,0,0,Development Department
1086,67,94,2,15,15,1.3823529411764706,8,2,2,126,1.5130847720370222,3,3,4,0,23,10,5,1,0,1,0,0,0,1,IT Infrastructure
1087,81,91,3,14,17,1.1097560975609757,8,1,3,307,1.6844570385970796,4,3,4,0,23,12,4,2,0,1,0,0,0,1,Sales and Marketing
1088,66,93,2,18,11,1.3880597014925373,7,1,2,149,1.4249228082632144,5,3,5,0,24,16,0,2,0,1,0,0,0,1,IT Infrastructure
1089,70,76,2,10,10,1.0704225352112675,5,2,2,192,1.3590982602189206,3,3,5,1,26,15,6,3,0,1,1,0,0,1,Development Department
1090,64,102,2,13,18,1.5692307692307692,6,10,2,229,1.6928558554233328,4,2,5,0,15,8,6,1,0,0,1,0,0,1,Quality Assurance
1091,63,88,2,14,23,1.375,8,4,3,58,1.2062988201244464,3,4,4,0,19,16,10,2,0,0,0,1,0,0,Research and Development
1092,60,93,2,17,24,1.5245901639344261,7,1,2,191,0.5289152732483525,4,2,4,0,33,16,7,3,0,0,1,0,0,1,IT Infrastructure
1093,79,94,3,16,18,1.175,7,5,5,84,0.8063608807514429,3,6,7,1,16,17,14,2,0,2,0,0,0,0,Quality Assurance
1094,67,88,2,11,22,1.2941176470588236,6,3,2,135,0.6217429143523028,3,6,6,1,22,14,10,2,0,1,0,0,0,0,Sales and Marketing
1095,62,86,2,14,11,1.3650793650793651,6,2,3,138,1.0084353576043932,3,6,4,1,25,14,16,1,0,2,0,0,0,0,Sales and Marketing
1096,66,89,2,15,12,1.328358208955224,10,2,5,200,0.5891910936059286,3,2,6,3,17,17,11,0,0,2,0,1,0,0,Sales and Marketing
1097,84,88,3,18,16,1.035294117647059,3,1,2,143,1.1446979242979616,5,2,3,1,28,14,7,2,0,0,0,0,0,1,Quality Assurance
1098,66,90,2,16,10,1.3432835820895523,5,2,2,146,1.8855939787628733,5,2,5,0,27,6,5,3,0,1,0,0,1,1,IT Infrastructure
1099,65,99,2,10,18,1.5,7,3,4,303,1.678017712047442,4,4,4,2,25,16,6,1,0,1,0,0,0,0,Quality Assurance
1100,69,86,2,10,11,1.2285714285714286,11,5,2,71,1.403502650498325,4,3,6,2,22,20,13,1,0,1,0,0,0,0,Quality Assurance
1101,67,83,2,10,18,1.2205882352941178,2,5,3,109,1.3618115379987819,4,2,4,2,20,11,16,2,0,0,0,1,0,0,Research and Development
1102,73,78,2,18,15,1.054054054054054,8,4,5,97,1.828457408387542,3,6,4,1,14,14,11,0,0,3,0,1,0,0,Research and Development
1103,71,84,2,12,11,1.1666666666666667,8,3,4,200,1.9682233401812033,3,6,4,1,17,15,17,2,0,1,0,1,0,0,IT Infrastructure
1104,58,76,2,11,11,1.2881355932203389,3,7,1,197,1.1936530926383908,5,3,4,0,28,11,9,1,0,1,0,0,0,1,Research and Development
1105,53,84,2,9,19,1.5555555555555556,10,3,2,802,1.6776062863370664,4,5,4,0,28,14,8,2,0,1,0,1,0,0,Sales and Marketing
1106,70,100,2,11,19,1.408450704225352,6,1,3,140,0.7866502386653358,5,3,4,0,29,14,3,2,0,0,0,0,0,1,Research and Development
1107,62,80,2,20,16,1.2698412698412698,5,1,4,390,1.7277046114794605,4,4,4,1,28,18,15,0,0,2,0,0,0,0,Sales and Marketing
1108,64,84,2,18,15,1.2923076923076924,7,5,3,110,0.6603584212605671,4,5,5,2,24,15,19,2,0,2,0,0,0,0,IT Infrastructure
1109,70,83,2,15,11,1.1690140845070423,4,3,2,131,1.4533405848036032,3,3,5,0,25,20,6,1,0,2,0,0,0,0,Quality Assurance
1110,66,89,2,9,16,1.328358208955224,7,3,2,70,0.8348823664621368,3,7,6,0,20,16,12,0,0,3,0,1,0,0,Quality Assurance
1111,73,94,2,20,17,1.2702702702702702,7,2,2,383,1.9099620148457137,3,3,4,1,29,7,7,1,0,1,0,0,0,1,Research and Development
1112,70,66,2,25,14,0.9295774647887324,3,4,1,194,0.9630179452029641,3,4,6,0,21,14,7,1,0,0,0,0,0,0,Sales and Marketing
1113,48,89,1,14,18,1.816326530612245,8,2,5,99,0.9478379677596593,4,4,6,0,27,8,12,1,0,0,0,0,0,0,Development Department
1114,77,105,3,14,16,1.3461538461538463,5,1,2,141,1.619909409498276,4,3,4,1,24,14,7,1,0,1,0,0,1,1,Development Department
1115,62,94,2,9,16,1.492063492063492,9,4,4,163,1.28781861984114,4,6,5,0,23,11,18,1,0,2,0,0,0,0,Development Department
1116,81,87,3,23,11,1.0609756097560976,4,1,1,182,1.63140192930363,5,3,4,0,32,11,3,1,0,0,0,0,0,1,Quality Assurance
1117,81,95,3,10,15,1.1585365853658536,7,4,3,149,1.8630586003815095,4,1,4,0,23,10,4,3,0,1,0,0,0,1,Quality Assurance
1118,63,85,2,12,15,1.328125,4,2,6,51,0.8077454238373054,4,6,5,2,8,7,14,1,0,1,0,1,0,0,Sales and Marketing
1119,63,84,2,17,16,1.3125,9,3,4,82,1.3921672169263908,4,5,5,0,16,17,6,3,0,1,0,0,0,0,Research and Development
1120,81,102,3,16,18,1.2439024390243902,9,1,2,160,0.9503213747444401,5,2,5,0,18,15,5,3,0,1,0,0,0,1,Development Department
1121,64,58,2,8,18,0.8923076923076924,7,4,5,34,1.9603734765109908,4,3,2,1,20,12,12,2,0,2,0,0,0,0,Sales and Marketing
1122,63,100,2,18,21,1.5625,11,3,4,134,1.4572483532853662,4,2,5,1,26,12,3,3,0,1,0,0,0,1,Sales and Marketing
1123,64,74,2,19,16,1.1384615384615384,4,2,3,234,0.6752303404834794,4,2,4,1,33,11,9,0,1,1,0,0,0,1,Research and Development
1124,82,72,3,23,15,0.8674698795180723,6,1,4,343,1.1949770130507762,5,4,3,0,34,9,5,2,0,1,0,0,0,1,Sales and Marketing
1125,63,85,2,19,16,1.328125,11,4,3,89,1.3754519260911386,4,2,3,1,18,18,14,0,0,3,0,0,0,0,Research and Development
1126,68,84,2,15,12,1.2173913043478262,4,1,1,210,1.5694079993642034,3,2,4,0,19,11,0,2,1,0,0,0,0,1,IT Infrastructure
1127,85,95,3,11,19,1.1046511627906976,9,2,2,263,1.6556952659107376,3,3,4,1,26,13,12,1,0,0,0,0,0,1,Research and Development
1128,84,101,3,14,17,1.188235294117647,7,1,2,114,1.7371679580426087,3,3,5,0,28,10,2,1,0,1,0,0,0,1,Development Department
1129,62,62,2,11,14,0.9841269841269841,4,3,3,99,0.7790227158268312,3,5,3,2,24,15,11,2,0,2,0,0,0,0,Development Department
1130,79,95,3,16,12,1.1875,9,2,2,266,0.9637396624420034,4,2,5,1,27,11,7,3,0,0,0,0,0,1,Research and Development
1131,74,90,2,13,14,1.2,10,1,4,108,1.8423269308230505,4,2,4,1,17,9,5,2,0,0,1,0,0,1,IT Infrastructure
1132,69,77,2,18,15,1.1,13,2,5,19,1.0297129952786297,3,5,5,2,15,12,8,0,0,1,0,1,0,0,IT Infrastructure
1133,79,78,3,13,18,0.975,9,5,4,513,1.6264713773933601,3,5,5,2,26,13,9,1,0,0,0,0,0,0,Development Department
1134,74,91,2,17,16,1.2133333333333334,3,3,5,73,0.9457683872617069,3,2,4,1,23,10,8,1,0,0,0,0,0,1,IT Infrastructure
1135,64,87,2,16,15,1.3384615384615384,9,1,3,255,1.5043579207031166,4,5,5,1,23,15,8,2,0,1,0,1,0,0,Sales and Marketing
1136,72,99,2,17,11,1.356164383561644,3,3,1,177,1.4914387617035199,4,2,4,0,24,12,8,1,0,1,0,0,0,1,Quality Assurance
1137,68,76,2,10,14,1.1014492753623188,5,2,2,66,0.6459316865234679,3,3,6,1,25,18,10,0,0,2,0,1,0,0,Sales and Marketing
1138,63,112,2,14,18,1.75,5,1,1,195,1.792199461464021,4,2,4,1,29,16,8,0,0,0,0,0,0,1,Development Department
1139,75,83,3,10,16,1.0921052631578947,11,1,5,115,1.563291299135548,3,3,5,2,32,15,12,1,0,0,0,0,0,0,IT Infrastructure
1140,71,98,2,11,16,1.3611111111111112,6,1,2,202,0.564424163839089,4,2,4,1,26,14,6,2,0,1,0,0,0,1,Research and Development
1141,62,89,2,13,14,1.4126984126984128,7,1,2,1066,1.7650829867786375,3,2,6,1,24,13,7,1,0,0,0,0,0,0,Quality Assurance
1142,58,85,2,10,13,1.4406779661016949,7,2,5,674,1.5135520707274637,4,4,4,1,22,18,19,2,0,1,0,0,0,0,Research and Development
1143,69,102,2,6,15,1.457142857142857,8,2,3,254,1.9709197060688914,5,2,5,1,32,13,7,1,1,0,0,0,0,1,Development Department
1144,67,89,2,10,16,1.3088235294117647,5,6,1,1002,0.739035359562966,4,3,5,0,29,11,8,3,0,0,1,0,0,1,IT Infrastructure
1145,63,80,2,16,13,1.25,5,2,2,509,1.0839550506960884,4,2,4,3,25,7,11,3,0,3,0,1,0,0,Research and Development
1146,56,81,2,13,14,1.4210526315789473,4,2,2,322,1.881965472201452,3,6,5,0,15,15,13,1,0,2,0,1,0,0,Research and Development
1147,82,99,3,12,18,1.1927710843373494,8,1,2,365,1.819047693895879,4,3,5,1,36,12,-1,0,0,1,0,0,0,1,Quality Assurance
1148,68,64,2,20,13,0.927536231884058,5,1,2,90,0.6597753414119609,4,4,3,0,32,18,18,1,0,2,0,1,0,0,Quality Assurance
1149,67,78,2,16,18,1.1470588235294117,9,2,6,77,0.9281525652768159,3,4,3,2,20,11,17,2,0,3,0,1,0,0,IT Infrastructure
1150,62,85,2,13,17,1.3492063492063493,5,1,3,104,1.7007166643128055,3,5,6,1,27,18,16,0,0,3,0,1,0,0,Quality Assurance
1151,83,77,3,20,15,0.9166666666666666,7,6,6,45,1.4346311712514308,3,4,5,0,19,14,15,1,0,1,0,1,0,0,Research and Development
1152,63,86,2,10,14,1.34375,9,1,9,59,1.635800717915337,4,6,4,0,16,15,15,1,0,2,0,1,0,0,Research and Development
1153,58,68,2,14,10,1.152542372881356,9,4,6,68,1.8208232204824422,3,2,5,1,8,17,4,2,0,0,0,0,0,0,Development Department
1154,77,84,3,18,16,1.0769230769230769,3,2,4,105,0.7016663959163347,4,3,4,1,24,20,8,0,0,1,0,1,0,0,Research and Development
1155,61,76,2,14,15,1.2258064516129032,7,1,8,84,1.8852768532957473,3,4,6,2,21,14,13,3,0,0,0,0,0,0,IT Infrastructure
1156,68,74,2,11,16,1.0724637681159421,6,3,4,34,0.8061500302774802,3,3,3,2,23,17,14,1,0,0,0,0,0,0,Sales and Marketing
1157,75,85,3,14,13,1.118421052631579,6,1,3,335,1.6110152638807238,3,2,5,1,23,15,7,1,1,0,0,0,0,1,Development Department
1158,60,73,2,14,17,1.1967213114754098,5,4,8,104,1.0586781168859432,3,5,5,1,23,11,7,2,0,0,0,0,0,0,Development Department
1159,79,91,3,18,13,1.1375,7,3,2,395,1.7365945054019736,4,5,4,0,20,18,10,2,0,2,0,0,0,0,IT Infrastructure
1160,46,79,1,12,15,1.6808510638297873,7,3,2,187,1.5143808477261922,4,3,3,1,38,8,9,3,0,1,0,0,0,1,IT Infrastructure
1161,70,79,2,11,13,1.1126760563380282,5,1,5,105,1.2881491680935524,3,4,4,1,20,13,14,1,0,2,0,1,0,0,Quality Assurance
1162,73,90,2,14,19,1.2162162162162162,7,3,2,99,1.845669957735869,3,4,4,0,17,20,3,3,0,1,0,1,0,0,Development Department
1163,51,88,2,10,14,1.6923076923076923,13,1,7,41,1.9249787715927127,3,4,4,1,20,13,16,1,0,0,0,0,0,0,Quality Assurance
1164,79,112,3,14,20,1.4,7,3,3,115,0.9268157936327939,5,3,5,1,36,8,8,0,1,1,0,0,0,1,Research and Development
1165,53,80,2,13,12,1.4814814814814814,9,2,4,149,1.0201935735378813,4,4,6,2,25,15,11,0,0,2,0,0,0,0,Development Department
1166,67,96,2,13,15,1.411764705882353,6,1,3,92,1.4788335385592635,4,3,4,1,27,7,4,0,0,0,0,0,0,1,Development Department
1167,83,97,3,14,12,1.1547619047619047,4,1,2,215,0.7123023966688868,4,2,5,1,21,16,6,3,0,1,0,0,0,1,Sales and Marketing
1168,90,91,3,14,16,1.0,12,1,2,185,1.963104944046927,3,6,6,2,26,14,10,2,0,3,0,0,0,0,Development Department
1169,71,81,2,13,16,1.125,9,1,3,122,1.13307961413827,4,3,5,0,29,10,3,2,0,0,0,0,0,1,Research and Development
1170,90,79,3,15,15,0.8681318681318682,6,3,2,233,1.7309820452881222,3,2,4,0,29,14,5,2,0,0,0,0,0,1,Quality Assurance
1171,64,108,2,18,15,1.6615384615384616,5,3,1,337,1.0812918563928933,3,2,4,1,26,14,11,0,0,0,0,0,1,1,Quality Assurance
1172,73,78,2,18,11,1.054054054054054,5,1,2,328,1.8449130986331859,4,2,3,1,18,10,4,2,0,1,0,0,0,1,Sales and Marketing
1173,68,108,2,22,13,1.565217391304348,6,2,2,125,1.7235093886271673,5,3,5,0,30,13,7,1,0,0,0,0,0,1,Research and Development
1174,63,87,2,22,15,1.359375,6,3,2,375,1.990517776222479,3,4,5,2,23,19,7,0,0,3,0,0,0,0,Quality Assurance
1175,73,72,2,15,15,0.972972972972973,13,3,3,88,1.066908635040025,3,2,2,0,24,12,2,0,0,0,0,0,1,1,IT Infrastructure
1176,65,72,2,17,14,1.0909090909090908,7,4,2,24,0.9618869122068822,4,5,6,1,23,11,18,2,0,3,0,1,0,0,Research and Development
1177,67,76,2,16,11,1.1176470588235294,7,1,4,135,0.7132961401951581,4,4,5,2,19,17,13,3,0,2,0,0,0,0,Research and Development
1178,64,72,2,13,17,1.1076923076923078,6,5,14,61,1.6252263861041616,3,4,6,1,26,14,4,0,0,1,0,0,0,0,Sales and Marketing
1179,87,109,3,18,22,1.2386363636363635,8,1,4,194,0.7314396161209793,4,2,5,1,22,12,2,3,0,1,0,0,0,1,Quality Assurance
1180,68,94,2,18,17,1.3623188405797102,4,3,5,55,1.5468849106173133,3,5,6,2,10,9,10,1,0,1,0,0,0,0,Research and Development
1181,66,70,2,14,16,1.044776119402985,6,3,5,119,1.4142891001595532,4,4,4,2,28,16,14,1,0,2,0,1,0,0,Quality Assurance
1182,71,74,2,12,12,1.0277777777777777,9,4,3,108,1.9743209068809824,4,5,4,3,28,12,12,2,0,2,0,1,0,0,IT Infrastructure
1183,69,73,2,19,11,1.042857142857143,7,2,2,67,1.3823130017945666,4,6,4,2,15,16,9,2,0,1,0,0,0,0,Sales and Marketing
1184,76,86,3,13,13,1.1168831168831168,7,1,2,125,1.1197484987913096,5,2,4,1,36,12,8,1,1,0,0,0,0,1,IT Infrastructure
